sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
1786537993121067800,2026/08/12 22:33:13.172,0.0,0.0,19465.0,32607.0,28.59,480.0,810.0
1786537993680131500,2026/08/12 22:33:13.712,41.0,3.0,19465.0,32607.0,89.05,1650.0,13801.0
1786537994219724700,2026/08/12 22:33:14.251,78.0,9.0,19465.0,32607.0,242.24,2850.0,13801.0
1786537994771449600,2026/08/12 22:33:14.803,87.0,10.0,19465.0,32607.0,316.77,2827.0,13801.0
1786537995313054100,2026/08/12 22:33:15.345,85.0,8.0,19465.0,32607.0,328.87,2835.0,13801.0
1786537995867524400,2026/08/12 22:33:15.897,87.0,10.0,19470.0,32607.0,330.05,2797.0,13801.0
1786537996405839500,2026/08/12 22:33:16.437,88.0,10.0,19470.0,32607.0,330.66,2820.0,13801.0
1786537996947593600,2026/08/12 22:33:16.979,82.0,8.0,19470.0,32607.0,336.22,2782.0,13801.0
1786537997489685600,2026/08/12 22:33:17.521,87.0,10.0,19470.0,32607.0,333.85,2820.0,13801.0
1786537998032117200,2026/08/12 22:33:18.063,89.0,10.0,19470.0,32607.0,335.21,2820.0,13801.0
1786537998572447900,2026/08/12 22:33:18.603,84.0,8.0,19470.0,32607.0,341.11,2797.0,13801.0
1786537999112700700,2026/08/12 22:33:19.144,73.0,6.0,19470.0,32607.0,346.46,2767.0,13801.0
1786537999654018000,2026/08/12 22:33:19.685,69.0,5.0,19465.0,32607.0,347.96,2737.0,13801.0
1786538000195622800,2026/08/12 22:33:20.227,89.0,10.0,19465.0,32607.0,342.55,2820.0,13801.0
1786538000735098500,2026/08/12 22:33:20.765,87.0,10.0,19470.0,32607.0,337.44,2820.0,13801.0
1786538001274520200,2026/08/12 22:33:21.307,88.0,10.0,19470.0,32607.0,339.54,2820.0,13801.0
1786538001828247900,2026/08/12 22:33:21.860,84.0,7.0,19470.0,32607.0,339.38,2812.0,13801.0
1786538002369803600,2026/08/12 22:33:22.401,83.0,7.0,19470.0,32607.0,349.1,2775.0,13801.0
1786538002925674300,2026/08/12 22:33:22.959,84.0,8.0,19470.0,32607.0,357.08,2775.0,13801.0
1786538003466909000,2026/08/12 22:33:23.498,50.0,2.0,19470.0,32607.0,337.87,2745.0,13801.0
1786538004006685200,2026/08/12 22:33:24.038,88.0,10.0,19470.0,32607.0,334.02,2820.0,13801.0
1786538004548125600,2026/08/12 22:33:24.579,88.0,10.0,19470.0,32607.0,339.27,2820.0,13801.0
1786538005085717900,2026/08/12 22:33:25.117,88.0,10.0,19470.0,32607.0,340.05,2820.0,13801.0
1786538005640193500,2026/08/12 22:33:25.671,88.0,10.0,19465.0,32607.0,339.51,2820.0,13801.0
1786538006177303600,2026/08/12 22:33:26.209,88.0,8.0,19470.0,32607.0,341.84,2820.0,13801.0
1786538006717276100,2026/08/12 22:33:26.749,83.0,8.0,19470.0,32607.0,352.17,2782.0,13801.0
1786538007270016500,2026/08/12 22:33:27.301,88.0,8.0,19470.0,32607.0,361.83,2782.0,13801.0
1786538007809388800,2026/08/12 22:33:27.841,79.0,3.0,19470.0,32607.0,358.16,2782.0,13801.0
1786538235137771500,2026/08/12 22:37:15.166,0.0,0.0,19425.0,32607.0,24.06,457.0,810.0
1786538235687246300,2026/08/12 22:37:15.719,85.0,11.0,19427.0,32607.0,107.07,2872.0,13801.0
1786538236227934700,2026/08/12 22:37:16.259,79.0,10.0,19427.0,32607.0,225.69,2872.0,13801.0
1786538236768221000,2026/08/12 22:37:16.815,84.0,9.0,19427.0,32607.0,293.27,2872.0,13801.0
1786538237324835700,2026/08/12 22:37:17.356,75.0,8.0,19427.0,32607.0,294.06,2865.0,13801.0
1786538237877735500,2026/08/12 22:37:17.909,87.0,11.0,19427.0,32607.0,295.28,2872.0,13801.0
1786538238418916300,2026/08/12 22:37:18.450,83.0,9.0,19427.0,32607.0,299.76,2865.0,13801.0
1786538238958912000,2026/08/12 22:37:18.990,69.0,7.0,19434.0,32607.0,305.5,2857.0,13801.0
1786538239499017400,2026/08/12 22:37:19.529,87.0,11.0,19434.0,32607.0,297.64,2872.0,13801.0
1786538240065613000,2026/08/12 22:37:20.097,36.0,4.0,19434.0,32607.0,283.29,2872.0,13801.0
1786538240605755800,2026/08/12 22:37:20.637,83.0,9.0,19434.0,32607.0,304.96,2850.0,13801.0
1786538241148583900,2026/08/12 22:37:21.180,87.0,12.0,19434.0,32607.0,319.97,2865.0,13801.0
1786538241686712900,2026/08/12 22:37:21.718,82.0,11.0,19434.0,32607.0,301.83,2865.0,13801.0
